ano;rend
1976/77;12145
1977/78;9726
1978/79;10200
1979/80;14887.4
1980/81;15484.8
1981/82;12890.9
1982/83;14532.9
1983/84;15340.5
1984/85;18211.5
1985/86;13207.5
1986/87;17071.5
1987/88;18127
1988/89;23929.2
1989/90;20101.3
1990/91;15394.5
1991/92;19418.6
1992/93;23042.1
1993/94;25059.2
1994/95;25934.1
1995/96;23189.7
1996/97;26160
1997/98;31369.9
1998/99;30765
1999/00;32344.6
2000/01;38431.8
2001/02;41916.9
2002/03;52017.5
2003/04;49792.7
2004/05;52304.6
2005/06;55027.1
2006/07;58391.8
2007/08;60017.7
2008/09;57165.5
2009/10;68688.2
2010/11;75324.3
2011/12;66383
2012/13;81499.4
2013/14;86120.8
2014/15;96228
2015/16;95434.6
2016/17;114075.3
2017/18;119281.7
2018/19;115029.9
